Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1
402	9	Do5	C5	318	318	1	8	333	95	96	göz
403	9	Si4b1	B4b1	313	313	1	8	333	95	96	ler  
404	9			-1	-1	1	4	667	100	0	
405	9	Do5	C5	318	318	3	16	500	95	96	Ner
406	9	Si4b1	B4b1	313	313	1	16	167	95	96	de 
407	9	La4	A4	305	305	1	8	333	95	96	ver
408	9	Si4b1	B4b1	313	313	1	8	333	95	96	di
409	9	Do5	C5	318	318	1	8	333	95	96	ğin 
410	9	Mi5	E5	336	336	1	8	333	95	96	söz
411	9	Re5	D5	327	327	1	4	667	95	96	ler  
412	9	Si4b1	B4b1	313	313	1	16	167	95	96	Ni
413	9	Sol4	G4	296	296	3	16	500	95	96	çin 
414	9	La4	A4	305	305	1	16	167	95	96	ne
415	9	Si4b1	B4b1	313	313	3	16	500	95	96	den 
416	9	La4	A4	305	305	1	8	333	95	96	gel
417	9	Re4	D4	274	274	1	8	333	95	96	me
418	9	Sol4	G4	296	296	1	4	667	95	96	din  
